Data Filename;Sample Name;Sample ID;Crotonate;Acetate;Propionate;3-Hydroxybutyrate;Methylsuccinate;Ethylmalonate;Mesaconate;2-Hydroxy-3-Methylsuccinate;Succinate;Methylmalonat;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\173.lcd;;;4.665;;;3.457;4.824;;4.934;9.036;;5.855;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\174.lcd;;;5.002;;;3.327;6.221;;4.861;9.550;;5.846;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\175.lcd;;;5.454;;;3.437;6.444;;4.460;9.848;4.345;6.217;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\176.lcd;;;5.390;;;3.705;7.973;;4.837;9.860;;6.094;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\177.lcd;;;6.923;;;4.065;4.873;;4.109;10.440;5.085;6.237;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\178.lcd;;;5.538;;;3.449;4.759;;4.434;9.569;4.515;5.841;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\179.lcd;;;;;;3.500;4.839;;4.432;9.787;4.575;5.432;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\180.lcd;;;8.733;;;4.275;4.736;;4.420;9.489;48.804;5.888;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\181.lcd;;;4.319;;;4.119;4.708;;4.273;9.507;;5.670;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\182.lcd;;;5.972;;;2.868;4.794;;4.092;9.816;;6.204;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\183.lcd;;;4.613;;;3.613;4.781;;6.393;10.240;;6.078;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\184.lcd;;;6.822;;;4.635;149.700;;122.815;11.113;4.419;5.955;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\185.lcd;;;8.388;;;4.209;170.006;;144.501;12.119;;6.131;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\186.lcd;;;5.303;;;3.001;83.742;;70.451;10.581;;5.926;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\187.lcd;;;6.950;;;7.730;45.602;;29.050;12.119;;6.105;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\188.lcd;;;5.272;;;3.752;4.749;;8.347;10.336;;5.761;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\189.lcd;;;5.432;;;3.857;28.382;;17.736;10.613;;5.722;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\190.lcd;;;8.584;;;5.125;4.967;;4.404;10.014;4.717;5.920;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\191.lcd;;;8.212;;;4.386;4.753;;4.408;9.773;;6.034;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\192.lcd;;;5.895;;;3.472;5.305;;4.480;9.928;;6.051;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\193.lcd;;;10.813;;;5.373;102.203;;37.912;11.457;;5.929;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\194.lcd;;;8.664;;;5.747;93.056;;44.071;11.801;;5.504;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\195.lcd;;;7.386;;;4.159;122.645;;76.372;11.310;;5.469;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\196.lcd;;;10.020;;;6.427;132.500;;76.751;13.783;;5.983;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\197.lcd;;;8.661;;;6.177;124.077;;76.774;13.435;;5.576;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\198.lcd;;;7.341;;;7.665;64.001;;30.099;11.700;;5.521;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\199.lcd;;;5.337;;;8.135;5.097;;5.281;9.966;;5.972;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\200.lcd;;;5.341;;;5.824;4.804;;21.326;10.137;;5.536;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\201.lcd;;;5.392;;;4.230;4.949;;4.451;10.341;10.905;5.901;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\202.lcd;;;5.785;;;4.732;4.893;;5.557;10.793;4.648;5.553;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\203.lcd;;;5.876;;;6.893;83.461;;55.019;11.065;4.305;5.828;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\204.lcd;;;5.378;;;4.271;129.430;;109.020;10.913;4.525;5.560;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\205.lcd;;;6.687;;;4.424;104.245;;30.263;10.828;4.717;5.609;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\206.lcd;;;6.519;;;4.177;73.505;;20.647;10.412;208.470;5.488;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\207.lcd;;;6.074;;;4.281;91.142;;31.609;10.497;5.634;5.515;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\208.lcd;;;9.751;;;7.712;463.937;;526.505;17.930;;6.062;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\209.lcd;;;7.618;;;5.725;239.589;;226.349;13.167;4.404;5.726;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\210.lcd;;;9.267;;;6.789;399.464;;429.674;15.812;4.173;5.671;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\211.lcd;;;5.557;;;5.183;4.775;;7.867;9.673;5.987;6.333;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\212.lcd;;;5.550;;;8.281;26.359;;13.226;10.898;4.183;5.538;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\213.lcd;;;5.355;;;3.816;4.725;;4.269;9.816;5.219;5.387;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\214.lcd;;;5.620;;;4.342;4.884;;4.969;10.084;;5.856;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\216.lcd;;;6.415;;;4.869;4.748;;4.141;9.714;;5.884;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\217.lcd;;;7.401;;;3.666;4.831;;4.944;10.283;;6.077;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\218.lcd;;;5.647;;;4.892;4.840;;4.291;9.615;;6.174;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\219.lcd;;;6.438;;;4.879;4.786;;4.339;9.897;38.265;5.389;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\220.lcd;;;6.577;;;4.337;4.845;;5.196;10.700;4.361;5.718;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\221.lcd;;;5.494;;;5.569;4.797;;5.465;10.015;4.356;6.024;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\222.lcd;;;6.334;;;4.401;6.995;;4.194;10.612;24.028;5.843;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\223.lcd;;;8.699;;;10.540;240.291;;220.362;13.374;9.413;5.853;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\224.lcd;;;6.369;;;7.308;225.521;;199.104;12.525;4.224;6.334;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\225.lcd;;;7.698;;;5.544;211.260;;171.623;14.452;;6.045;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\226.lcd;;;7.147;;;5.308;50.631;;27.877;15.094;4.319;6.118;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\227.lcd;;;6.558;;;5.651;30.512;;17.445;11.411;4.515;5.503;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\228.lcd;;;8.120;;;8.156;57.053;;36.486;13.706;;5.446;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\229.lcd;;;7.533;;;4.842;4.865;;4.223;9.976;;5.912;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\230.lcd;;;6.831;;;4.958;4.824;;4.253;10.066;;5.372;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\231.lcd;;;6.965;;;4.600;8.981;;5.764;10.047;;5.806;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\232.lcd;;;6.744;;;4.410;4.724;;17.079;10.892;4.944;5.590;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\233.lcd;;;6.189;;;3.782;38.229;;14.412;11.194;4.314;6.077;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\234.lcd;;;7.014;;;3.886;43.300;;12.872;10.100;;5.696;

